.geo,LST,NDVI,NDBI,Albedo,Elevation,Population,LULC,AirTemp,dewPoint,WindSpeed,Rainfall,WaterDistance,BuiltupDensity
"{""type"":""Point"",""coordinates"":[77.39018376685898,28.83347559957971]}",35.300633000000005,0.5490703694987056,-0.10425271976263889,13250.833333333334,208,5.302154541015625,40,29.264820101671603,,1.0352820182969376,817.1857734378427,1156,2
"{""type"":""Point"",""coordinates"":[76.87125870374194,28.975672915401145]}",37.53943609999999,0.2730292294065545,-9.425959091337543E-5,13559.833333333334,227,1.4255485534667969,40,29.45888059846652,,0.9596280925252278,612.4165415205061,904,2
"{""type"":""Point"",""coordinates"":[77.34846248761859,28.714156220159957]}",37.891492159999984,0.525323910482921,-0.0763662925825088,11755.333333333334,216,48.00923156738281,50,29.39054268637858,,0.9437775457285515,771.6634115893394,1865,2
"{""type"":""Point"",""coordinates"":[77.24799484181202,28.69222819835314]}",36.53453822000006,0.48325652841781874,-0.06100674961372692,12213.333333333334,206,154.65411376953125,40,29.41987086145872,,0.9152883168635729,765.6035015303642,1,2
"{""type"":""Point"",""coordinates"":[76.83243143572112,28.734149027890343]}",37.63172264000002,0.2369119677179569,-0.02566235000594036,13736.0,219,11.680559158325195,40,29.61348510853975,,0.7566680739049884,636.8931446131319,653,2
"{""type"":""Point"",""coordinates"":[77.3704172188584,28.781853604965956]}",40.26018002000001,0.16191225654141256,-0.016712621687018175,14227.166666666666,220,6.767960548400879,40,29.264820101671603,,1.0352820182969376,807.6676713582128,2837,2
"{""type"":""Point"",""coordinates"":[77.38857866780596,28.84688349902729]}",38.40761318,0.36130763600878263,-0.04950013674070923,12867.0,219,2.258943557739258,40,29.264820101671603,,1.0352820182969376,817.1857734378427,1765,2
"{""type"":""Point"",""coordinates"":[77.09563201446318,28.575177819809838]}",39.537268789999985,0.4728834355828221,-0.08955811280953356,12389.583333333334,222,48.12184143066406,40,29.48856291159609,,0.800208678714508,645.6545958351344,2813,2
"{""type"":""Point"",""coordinates"":[77.2705742435576,28.69028207873239]}",40.331958439999994,0.37308622078968573,-0.060783012607830124,12716.333333333334,207,303.133056640625,10,29.39054268637858,,0.9437775457285515,716.0052737463266,1258,6
"{""type"":""Point"",""coordinates"":[76.88471479258011,28.58647571683078]}",47.381624690000024,0.18905706496192534,0.017545777534845586,15026.333333333334,213,26.693578720092773,40,29.71709552806817,,0.7234705111502765,578.9624209441245,1972,2
"{""type"":""Point"",""coordinates"":[77.3225216693996,28.82266788213146]}",36.19273622000003,0.4585635359116022,-0.11502664739974207,12424.25,223,7.230339050292969,40,29.34735394152966,,1.0123869247814903,843.8962230607867,1681,2
"{""type"":""Point"",""coordinates"":[77.32852849812734,28.731441854852704]}",39.35098670000002,0.2893732970027248,-0.038358316423381555,12778.833333333334,216,38.23904800415039,50,29.39054268637858,,0.9437775457285515,771.6634115893394,173,2
"{""type"":""Point"",""coordinates"":[76.89945795794398,28.832417042878536]}",38.01454088000003,0.2034944670937682,0.014518917430350504,13723.333333333334,213,1.994388461112976,40,29.54948449326963,,0.827333554449325,621.4902096074075,936,2
"{""type"":""Point"",""coordinates"":[76.8893086034138,28.809031154943792]}",38.605858340000054,0.23453401943967983,0.01068191326174871,14834.583333333334,214,1.7497930526733398,40,29.54948449326963,,0.827333554449325,621.4902096074075,802,2
"{""type"":""Point"",""coordinates"":[77.35346749624935,28.544623568500185]}",42.5810156,0.020872865275142316,0.02962129733783277,15243.166666666666,197,60.16720199584961,50,29.443236818418427,,0.8661547304951221,681.69528093189,2477,3
"{""type"":""Point"",""coordinates"":[77.27026090994906,28.939511643062776]}",38.67080071999999,0.28069053708439895,0.02844956161748512,14817.916666666666,223,11.710829734802246,60,29.291456469860748,,1.0561950488680893,835.1838503973559,4689,2
"{""type"":""Point"",""coordinates"":[77.23879203821194,28.93326815001905]}",39.97990238,0.12751256281407036,0.010027132240179308,14178.083333333334,223,12.071595191955566,40,29.395102660909288,,1.029567273669195,897.8696788847446,980,2
"{""type"":""Point"",""coordinates"":[77.30930684222409,28.832879451446054]}",36.07994156000001,0.44023756495916855,-0.09844998789053039,12610.5,217,2.995316505432129,40,29.34735394152966,,1.0123869247814903,843.8962230607867,373,2
"{""type"":""Point"",""coordinates"":[77.20754543993884,28.40322088342415]}",38.78701339999998,0.45874170091685107,-0.062420300943636826,12174.166666666666,289,11.480170249938965,20,29.383133510268237,,0.7400074909550556,673.5018959966552,97,2
"{""type"":""Point"",""coordinates"":[76.83156826673657,28.49853849541442]}",43.48337288000005,0.3604169860493638,0.013253252026292,13133.75,213,1.9055942296981812,40,29.781289309547105,,0.6654794084412096,600.3767738121327,53,2
"{""type"":""Point"",""coordinates"":[77.05265375041812,28.695285972715105]}",40.00382852000001,0.11363636363636363,0.017977528089887642,12942.416666666666,212,147.95498657226562,50,29.506095427907894,,0.8656984199962716,677.7479313593358,629,5
"{""type"":""Point"",""coordinates"":[76.93415367048821,28.42464357977599]}",43.06295641999998,0.13533976907060383,0.02128594658736321,14601.166666666666,223,25.03406524658203,50,29.656255326602945,,0.6412298160076573,556.7531023559682,5200,2
"{""type"":""Point"",""coordinates"":[76.94622228304412,28.619217011359826]}",46.05372392000004,0.14396606191894576,0.05179028132992328,15615.666666666666,212,17.092945098876953,40,29.71709552806817,,0.7234705111502765,606.8192101530731,146,2
"{""type"":""Point"",""coordinates"":[77.29381491891436,28.64926078888103]}",39.80729237000003,0.2964698531708841,0.014684089990569851,13191.333333333334,209,165.4386444091797,50,29.38691187708372,,0.8781144679887717,690.1044398583472,1872,6
"{""type"":""Point"",""coordinates"":[77.12372054569819,28.746951161930287]}",41.133484130000056,0.13039778770474367,0.01695064500506318,14358.0,219,117.81388092041016,40,29.506095427907894,,0.8656984199962716,724.9800134077668,2440,2
"{""type"":""Point"",""coordinates"":[77.08044332968106,28.562032838322573]}",45.611090330000025,0.16523188003332406,0.007364702160195455,12622.5,215,48.66167068481445,50,29.48856291159609,,0.800208678714508,645.6545958351344,1801,6
"{""type"":""Point"",""coordinates"":[77.01047700245432,28.880186554557884]}",38.55971507000004,0.27591496822266054,-0.034478741991846244,13851.75,224,17.454769134521484,40,29.465502801133596,,0.9228106294692979,741.6688812430948,130,2
"{""type"":""Point"",""coordinates"":[76.94468591763693,28.650476145280358]}",41.35394642000006,0.5002268602540835,-0.06576604417759334,13237.25,212,21.052661895751953,40,29.60546245085891,,0.7732941245550061,632.5084258504212,25,2
"{""type"":""Point"",""coordinates"":[77.3428557510288,28.676646906206564]}",42.76217066000004,0.039619651347068144,0.014400433707179887,13383.0,206,211.13967895507812,50,29.39054268637858,,0.9437775457285515,765.949471032247,356,6
"{""type"":""Point"",""coordinates"":[77.28257929952534,28.820365756035514]}",37.82654978000005,0.18025540275049115,0.00206922218087086,13976.916666666666,220,7.3097381591796875,40,29.34735394152966,,1.0123869247814903,762.8977924920619,866,2
